CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
RATHOD DAYABHAI HIRABHAI,11,PORBANDAR,1345,Independent,5,S06,GUJARAT,1350,0.14
RANK JIGNESHBHAI GOVINDBHAI,11,PORBANDAR,1216,Independent,2,S06,GUJARAT,1218,0.13
RIYAZ OSMAN SURIYA ALIAS LALO MURGHIVALA,11,PORBANDAR,1979,Independent,4,S06,GUJARAT,1983,0.21
RESHMA PATEL,11,PORBANDAR,3704,Independent,12,S06,GUJARAT,3716,0.39
VIMALBHAI RATILAL RAMANI,11,PORBANDAR,8652,Independent,1,S06,GUJARAT,8653,0.91
ASHOK NANJI SONDARVA,11,PORBANDAR,7448,Independent,9,S06,GUJARAT,7457,0.78
KAGATHARA LALITBHAI,10,RAJKOT,388405,Indian National Congress,1833,S06,GUJARAT,390238,32.65
KUNDARIA MOHANBHAI KALYANJIBHAI,10,RAJKOT,755296,Bharatiya Janata Party,3349,S06,GUJARAT,758645,63.47
VIJAY PARMAR,10,RAJKOT,15288,Bahujan Samaj Party,100,S06,GUJARAT,15388,1.29
AMARDAS B. DESANI,10,RAJKOT,1383,Independent,9,S06,GUJARAT,1392,0.12
CHITRODA NATHALAL (CHITRODA SIR),10,RAJKOT,1164,Independent,5,S06,GUJARAT,1169,0.1
J. B. CHAUHAN,10,RAJKOT,968,Independent,2,S06,GUJARAT,970,0.08
CHAUHAN MANOJBHAI PRAVINBHAI,10,RAJKOT,1140,Independent,6,S06,GUJARAT,1146,0.1
JASPALSINH MAHAVEERSINH TOMAR,10,RAJKOT,1587,Independent,9,S06,GUJARAT,1596,0.13
DENGADA PRAVINBHAI MEGHJIBHAI,10,RAJKOT,2164,Independent,2,S06,GUJARAT,2166,0.18
RAKESH PATEL,10,RAJKOT,4237,Independent,6,S06,GUJARAT,4243,0.35
THAKOR RAJENDRASINH SHIVSINH,5,SABARKANTHA,428836,Indian National Congress,4161,S06,GUJARAT,432997,35.54
RATHOD DIPSINH SHANKARSINH,5,SABARKANTHA,696497,Bharatiya Janata Party,5486,S06,GUJARAT,701983,57.62
VINODBHAI JETHABHAI MESARIYA,5,SABARKANTHA,7798,Bahujan Samaj Party,114,S06,GUJARAT,7912,0.65
KHARADI DHARMENDRASINGH SAMSUBHAI,5,SABARKANTHA,2687,Bhartiya Tribal Party,146,S06,GUJARAT,2833,0.23
JADEJA INDRAVIJAYSINH KALYANSINH,5,SABARKANTHA,1897,Yuva Jan Jagriti Party,23,S06,GUJARAT,1920,0.16
NARESHKUMAR RAMESHBHAI PATEL,5,SABARKANTHA,1437,Bharatiya National Janta Dal,10,S06,GUJARAT,1447,0.12
PATEL JAYANTIBHAI SHAMJIBHAI,5,SABARKANTHA,2231,Hindusthan Nirman Dal,16,S06,GUJARAT,2247,0.18
MAYURSINH VANRAJSINH ZALA,5,SABARKANTHA,1268,Rashtra Vikas Zumbes Party,22,S06,GUJARAT,1290,0.11
LAXMISHANKAR MADHUSUDAN JOSHI,5,SABARKANTHA,1320,Jan Satya Path Party,15,S06,GUJARAT,1335,0.11
VIKRAMBHAI BAHECHARBHAI MAKWANA,5,SABARKANTHA,2170,Garvi Gujarat Party,19,S06,GUJARAT,2189,0.18
KALABHAI BABABHAI PARMAR,5,SABARKANTHA,1500,Independent,10,S06,GUJARAT,1510,0.12
ZALA DALPATSINH MOTISINH,5,SABARKANTHA,1877,Independent,7,S06,GUJARAT,1884,0.15
PATEL KIRITKUMAR BABARBHAI,5,SABARKANTHA,2722,Independent,5,S06,GUJARAT,2727,0.22
PATEL KESHAVLAL GANGARAMBHAI,5,SABARKANTHA,4924,Independent,5,S06,GUJARAT,4929,0.4
PATHAN AAIYUBKHAN AJABKHAN,5,SABARKANTHA,9174,Independent,3,S06,GUJARAT,9177,0.75
RAVAL RAJUBHAI PUNJABHAI,5,SABARKANTHA,17154,Independent,21,S06,GUJARAT,17175,1.41
LATA BABUBHAI NATHAJI,5,SABARKANTHA,7747,Independent,30,S06,GUJARAT,7777,0.64
LUHAR HAFIJHUSEN HAJINURMAHMAD,5,SABARKANTHA,5829,Independent,6,S06,GUJARAT,5835,0.48
SANGHANI MUSTAKBHAI JAMALBHAI,5,SABARKANTHA,2659,Independent,2,S06,GUJARAT,2661,0.22
SOLANKI MAGANBHAI LAKHABHAI,5,SABARKANTHA,2410,Independent,12,S06,GUJARAT,2422,0.2
ASHOK PATEL (ADHEVADA),24,SURAT,246978,Indian National Congress,443,S06,GUJARAT,247421,23.16
DARSHANA VIKRAM JARDOSH,24,SURAT,794133,Bharatiya Janata Party,1518,S06,GUJARAT,795651,74.47
ADV. VIJAY SHENMARE,24,SURAT,5732,Communist Party of India,3,S06,GUJARAT,5735,0.54
CAPTAIN RITA MAA,24,SURAT,642,Pyramid Party of India,1,S06,GUJARAT,643,0.06
SHRI. GAUTAMRAJ HINDUSTANI,24,SURAT,721,Yuva Sarkar,1,S06,GUJARAT,722,0.07
JOGIYA AMISHA VIKRAMBHAI,24,SURAT,606,Sanyukt Vikas Party,1,S06,GUJARAT,607,0.06
DHAMELIYA PIYUSH VALLABHBHAI (R.D.P),24,SURAT,532,Real Democracy Party,0,S06,GUJARAT,532,0.05
TULSIBHAI LAXMANBHAI DAKHARA,24,SURAT,412,Independent,2,S06,GUJARAT,414,0.04
DINESH JIKADRA PRAJAPATI,24,SURAT,1004,Independent,9,S06,GUJARAT,1013,0.09
DIPAK GANGANI,24,SURAT,716,Independent,1,S06,GUJARAT,717,0.07
MAHYAVANSHI NATVARBHAI DAHYABHAI,24,SURAT,1015,Independent,5,S06,GUJARAT,1020,0.1
RAMESHBHAI P. BARAIYA (PATI),24,SURAT,1056,Independent,1,S06,GUJARAT,1057,0.1
SURWADE SANTOSH AVDHUT (GABBAR),24,SURAT,2348,Independent,0,S06,GUJARAT,2348,0.22
KOLI PATEL SOMABHAI GANDALAL,9,SURENDRANAGAR,351610,Indian National Congress,2797,S06,GUJARAT,354407,32.88
PARMAR GHOGHAJIBHAI KANJIBHAI,9,SURENDRANAGAR,8151,Nationalist Congress Party,113,S06,GUJARAT,8264,0.77
DR. MUNJAPARA MAHENDRABHAI,9,SURENDRANAGAR,626957,Bharatiya Janata Party,4887,S06,GUJARAT,631844,58.63
ADVOCATE SHAILESH N. SOLANKI,9,SURENDRANAGAR,12662,Bahujan Samaj Party,198,S06,GUJARAT,12860,1.19
THAKOR JAGUJI KUNVARJI URFE J.K. THAKOR,9,SURENDRANAGAR,1453,Vyavastha Parivartan Party,22,S06,GUJARAT,1475,0.14
DEKAVADIYA DARJIBHAI MAGANBHAI (PATIDAR),9,SURENDRANAGAR,1419,Hindusthan Nirman Dal,14,S06,GUJARAT,1433,0.13
OGHADBHAI SAGARAMBHAI MER,9,SURENDRANAGAR,814,Independent,3,S06,GUJARAT,817,0.08
KAMABHAI PETHABHAI MAKWANA,9,SURENDRANAGAR,876,Independent,15,S06,GUJARAT,891,0.08
KARIMBHAI ADAMBHAI URFE BABABHAI,9,SURENDRANAGAR,1120,Independent,14,S06,GUJARAT,1134,0.11
KALUBHAI MALUBHAI VADALIYA,9,SURENDRANAGAR,1131,Independent,2,S06,GUJARAT,1133,0.11
KOLI PATEL LALJIBHAI CHATURBHAI,9,SURENDRANAGAR,4625,Independent,41,S06,GUJARAT,4666,0.43
KOLI RAMESHBHAI VIRSANGBHAI VAGHELA,9,SURENDRANAGAR,1421,Independent,9,S06,GUJARAT,1430,0.13
GOLTAR BHAGVANBHAI MAIYABHAI,9,SURENDRANAGAR,2456,Independent,15,S06,GUJARAT,2471,0.23
JARGELA HASANBHAI ABDULBHAI,9,SURENDRANAGAR,3101,Independent,9,S06,GUJARAT,3110,0.29
DANIYA ANIRUDDHBHAI GANDABHAI,9,SURENDRANAGAR,3046,Independent,1,S06,GUJARAT,3047,0.28
DOST MER,9,SURENDRANAGAR,11097,Independent,6,S06,GUJARAT,11103,1.03
NARESH MAKWANA,9,SURENDRANAGAR,6636,Independent,1,S06,GUJARAT,6637,0.62
PATEL BALDEVBHAI JIVABHAI,9,SURENDRANAGAR,2376,Independent,1,S06,GUJARAT,2377,0.22
BHATHANIYA FARIDBHAI AMIJIBHAI,9,SURENDRANAGAR,2887,Independent,0,S06,GUJARAT,2887,0.27
BHAVANBHAI DEVJIBHAI VORA,9,SURENDRANAGAR,3814,Independent,2,S06,GUJARAT,3816,0.35
BHANJIBHAI SHEKHAVA,9,SURENDRANAGAR,971,Independent,11,S06,GUJARAT,982,0.09
BHUPATBHAI LALJIBHAI SOLANKI,9,SURENDRANAGAR,1329,Independent,21,S06,GUJARAT,1350,0.13
MAKWANA DALPATBHAI LAGHARBHAI,9,SURENDRANAGAR,743,Independent,3,S06,GUJARAT,746,0.07
RATHOD ASHOKBHAI VITTHALBHAI,9,SURENDRANAGAR,1058,Independent,3,S06,GUJARAT,1061,0.1
RATHOD ANANDBHAI PACHANBHAI,9,SURENDRANAGAR,897,Independent,4,S06,GUJARAT,901,0.08
VAGHELA DAHYABHAI KHENGARBHAI,9,SURENDRANAGAR,633,Independent,2,S06,GUJARAT,635,0.06
VAGHELA PRAKASHBHAI BACHUBHAI,9,SURENDRANAGAR,694,Independent,3,S06,GUJARAT,697,0.06
SARDARKHAN MALEK,9,SURENDRANAGAR,993,Independent,0,S06,GUJARAT,993,0.09
SALIMBHAI SHAHBUDINBHAI PATHAN,9,SURENDRANAGAR,1153,Independent,0,S06,GUJARAT,1153,0.11
SAPRA VIPUL R.,9,SURENDRANAGAR,2615,Independent,0,S06,GUJARAT,2615,0.24
HANIFBHAI KAYABHAI KATIYA,9,SURENDRANAGAR,2003,Independent,1,S06,GUJARAT,2004,0.19
PRASHANT PATEL (TIKO),20,VADODARA,293080,Indian National Congress,1462,S06,GUJARAT,294542,24.1
ROHIT MADHUSUDAN MOHANBHAI,20,VADODARA,7429,Bahujan Samaj Party,29,S06,GUJARAT,7458,0.61
RANJANBEN BHATT,20,VADODARA,880905,Bharatiya Janata Party,2814,S06,GUJARAT,883719,72.3
GOHIL RINKU,20,VADODARA,3805,Yuva Jan Jagriti Party,6,S06,GUJARAT,3811,0.31
JAT SUBHAS SINGH BRIJLAL,20,VADODARA,1093,All India Hindustan Congress Party,4,S06,GUJARAT,1097,0.09
TAPAN DASGUPTA,20,VADODARA,888,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1,S06,GUJARAT,889,0.07
MOHSIMMIYA (SAIYAD MOHSIN BAPU),20,VADODARA,871,Bahujan Mukti Party,1,S06,GUJARAT,872,0.07
LION DR. YASINALI POLRA,20,VADODARA,1791,New All India Congress Party,4,S06,GUJARAT,1795,0.15
SANTOSH S. SOLANKI,20,VADODARA,856,Bhartiya Manavadhikaar Federal Party,2,S06,GUJARAT,858,0.07
NIMESH PATEL (KAMROL),20,VADODARA,947,Independent,16,S06,GUJARAT,963,0.08
PATEL KALIDAS (KALIDAS M. PATEL ALIAS NAPOLEON),20,VADODARA,1429,Independent,2,S06,GUJARAT,1431,0.12
DR. RAHUL VASUDEVBHAI VYAS,20,VADODARA,3457,Independent,0,S06,GUJARAT,3457,0.28
SINDHI MAHEBUBKHAN YUSUFKHAN (VAKIL),20,VADODARA,4454,Independent,3,S06,GUJARAT,4457,0.36
KISHORBHAI RAMANBHAI PATEL (RAJUBHAI),26,VALSAD,15344,Bahujan Samaj Party,15,S06,GUJARAT,15359,1.22
CHAUDHARI JITUBHAI HARJIBHAI,26,VALSAD,416310,Indian National Congress,1873,S06,GUJARAT,418183,33.18
DR.K.C.PATEL,26,VALSAD,770442,Bharatiya Janata Party,1538,S06,GUJARAT,771980,61.25
PATEL NARESHBHAI BABUBHAI,26,VALSAD,7173,Sardar Vallabhbhai Patel Party,5,S06,GUJARAT,7178,0.57
PATEL PANKAJBHAI LALLUBHAI,26,VALSAD,9488,Bhartiya Tribal Party,48,S06,GUJARAT,9536,0.76
BABUBHAI CHHAGANBHAI TALAVIYA,26,VALSAD,2557,Bahujan Mukti Party,0,S06,GUJARAT,2557,0.2
GAURANGBHAI RAMESHBHAI PATEL,26,VALSAD,2983,Independent,14,S06,GUJARAT,2997,0.24
GANVIT JAYENDRABHAI LAXMANBHAI,26,VALSAD,5817,Independent,2,S06,GUJARAT,5819,0.46
PATEL UMESHBHAI MAGANBHAI,26,VALSAD,7460,Independent,1,S06,GUJARAT,7461,0.59
ARUN KUMAR,1,AMBALA,7540,Communist Party of India,23,S07,HARYANA,7563,0.57
NARESH KUMAR,1,AMBALA,96205,Bahujan Samaj Party,91,S07,HARYANA,96296,7.32
RATTAN LAL KATARIA,1,AMBALA,744438,Bharatiya Janata Party,2070,S07,HARYANA,746508,56.72
RAM PAL,1,AMBALA,19518,Indian National Lok Dal,57,S07,HARYANA,19575,1.49
SELJA,1,AMBALA,403678,Indian National Congress,485,S07,HARYANA,404163,30.71
ANIL KUMAR,1,AMBALA,2123,Republican Party of India (A),5,S07,HARYANA,2128,0.16
PURAN CHAND,1,AMBALA,719,Rashtriya Lokswaraj Party,0,S07,HARYANA,719,0.05
PRITHVI RAJ,1,AMBALA,12260,Aam Aadmi Party,42,S07,HARYANA,12302,0.93
RAJENDER KUMAR BHATLI,1,AMBALA,1161,Bhartiya Shakti Chetna Party,1,S07,HARYANA,1162,0.09
VARUN KUMAR JAGLAN,1,AMBALA,948,Peoples Party of India (Democratic),1,S07,HARYANA,949,0.07
SANDEEP SINGH,1,AMBALA,885,Aapki Apni Party (Peoples),9,S07,HARYANA,894,0.07
SURAJ KUMAR,1,AMBALA,1842,Bahujan Mukti Party,0,S07,HARYANA,1842,0.14
SURAJ BHAN NARWAL,1,AMBALA,1072,Pragatishil Samajwadi Party (Lohia),0,S07,HARYANA,1072,0.08
JATINDER SINGH,1,AMBALA,2619,Independent,18,S07,HARYANA,2637,0.2
BETA MAM CHAND RATTUWALA,1,AMBALA,3265,Independent,5,S07,HARYANA,3270,0.25
RANJEET SINGH,1,AMBALA,3740,Independent,2,S07,HARYANA,3742,0.28
RATTAN LAL,1,AMBALA,1892,Independent,2,S07,HARYANA,1894,0.14
SURAJ BHAN,1,AMBALA,1575,Independent,1,S07,HARYANA,1576,0.12
DHARAMBIR SINGH S/O BHALE RAM,8,BHIWANI MAHENDRAGARH,725725,Bharatiya Janata Party,10974,S07,HARYANA,736699,63.45
BALWAN SINGH,8,BHIWANI MAHENDRAGARH,7964,Indian National Lok Dal,101,S07,HARYANA,8065,0.69
SHRUTI CHOUDHRY,8,BHIWANI MAHENDRAGARH,290463,Indian National Congress,1773,S07,HARYANA,292236,25.17
MOHD IRFAN,8,BHIWANI MAHENDRAGARH,1566,Bharat Prabhat Party,35,S07,HARYANA,1601,0.14
COMRADE OM PARKASH,8,BHIWANI MAHENDRAGARH,1079,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),14,S07,HARYANA,1093,0.09
KUNDAN KUMAR,8,BHIWANI MAHENDRAGARH,439,Republican Party of India,4,S07,HARYANA,443,0.04
RAMESH RAO PILOT,8,BHIWANI MAHENDRAGARH,20170,Loktanter Suraksha Party,64,S07,HARYANA,20234,1.74
SATBIR,8,BHIWANI MAHENDRAGARH,425,Aapki Apni Party (Peoples),8,S07,HARYANA,433,0.04
SALESH KUMAR,8,BHIWANI MAHENDRAGARH,466,Pragatishil Samajwadi Party (Lohia),14,S07,HARYANA,480,0.04
BHAI SURENDER DHANAK,8,BHIWANI MAHENDRAGARH,791,Bhartiya Janraj Party,149,S07,HARYANA,940,0.08
SWATI YADAV,8,BHIWANI MAHENDRAGARH,84236,Jannayak Janta Party,720,S07,HARYANA,84956,7.32
JAGAT SINGH,8,BHIWANI MAHENDRAGARH,728,Independent,4,S07,HARYANA,732,0.06
DHARAMBIR SINGH S/0 FATEH SINGH,8,BHIWANI MAHENDRAGARH,1250,Independent,10,S07,HARYANA,1260,0.11
RAJNISH KUMAR,8,BHIWANI MAHENDRAGARH,1395,Independent,2,S07,HARYANA,1397,0.12
RAM KISHAN,8,BHIWANI MAHENDRAGARH,621,Independent,4,S07,HARYANA,625,0.05
LALIT,8,BHIWANI MAHENDRAGARH,2933,Independent,5,S07,HARYANA,2938,0.25
VINOD KUMAR,8,BHIWANI MAHENDRAGARH,2652,Independent,1,S07,HARYANA,2653,0.23
SATYA PAL,8,BHIWANI MAHENDRAGARH,501,Independent,4,S07,HARYANA,505,0.04
SUDHIR KUMAR,8,BHIWANI MAHENDRAGARH,879,Independent,4,S07,HARYANA,883,0.08
SURESH CHAND,8,BHIWANI MAHENDRAGARH,585,Independent,2,S07,HARYANA,587,0.05
HAPPY SINGH,8,BHIWANI MAHENDRAGARH,306,Independent,8,S07,HARYANA,314,0.03
AVTAR SINGH BHADANA,10,FARIDABAD,274755,Indian National Congress,228,S07,HARYANA,274983,20.72
KRISHAN PAL,10,FARIDABAD,910787,Bharatiya Janata Party,2435,S07,HARYANA,913222,68.8
MANDHIR MAAN,10,FARIDABAD,86694,Bahujan Samaj Party,58,S07,HARYANA,86752,6.54
MAHENDER SINGH CHAUHAN,10,FARIDABAD,12035,Indian National Lok Dal,35,S07,HARYANA,12070,0.91
BAUDHACHARYA KHAJAN SINGH GAUTAM,10,FARIDABAD,462,Republican Party of India,1,S07,HARYANA,463,0.03
CHAUDHARY DAYACHAND,10,FARIDABAD,336,Bhartiya Shakti Chetna Party,3,S07,HARYANA,339,0.03
DEEPAK GAUR,10,FARIDABAD,467,AARAKSHAN VIRODHI PARTY,4,S07,HARYANA,471,0.04
PANDIT NAVEEN JAIHIND,10,FARIDABAD,11076,Aam Aadmi Party,36,S07,HARYANA,11112,0.84
PRADEEP KUMAR,10,FARIDABAD,330,Tola Party,0,S07,HARYANA,330,0.02
MAHESH PRATAP SHARMA,10,FARIDABAD,475,Rashtriya Vikas Party,2,S07,HARYANA,477,0.04
MUKESH KUMAR SINGH,10,FARIDABAD,478,Lokpriya Samaj Party,0,S07,HARYANA,478,0.04
RAKESH KUMAR,10,FARIDABAD,450,Aapki Apni Party (Peoples),1,S07,HARYANA,451,0.03
RAMKISHAN GOLA,10,FARIDABAD,1131,All India Forward Bloc,0,S07,HARYANA,1131,0.09
RUBY,10,FARIDABAD,1190,Hind Congress Party,2,S07,HARYANA,1192,0.09
LEKHRAM DABANG,10,FARIDABAD,4773,Bahujan Mukti Party,0,S07,HARYANA,4773,0.36
VIJENDERA KASANA,10,FARIDABAD,2687,Bhartiya Kisan Party,1,S07,HARYANA,2688,0.2
SHYAMVIR,10,FARIDABAD,3960,Rashtriya Lokswaraj Party,1,S07,HARYANA,3961,0.3
SAHIRAM RAWAT,10,FARIDABAD,2024,Voters Party,0,S07,HARYANA,2024,0.15
ADV. HARI SHANKAR RAJVANS,10,FARIDABAD,715,Adim Bhartiya Dal,1,S07,HARYANA,716,0.05
HARI CHAND,10,FARIDABAD,1369,Peoples Party of India (Democratic),1,S07,HARYANA,1370,0.1
AMIT SINGH PATEL,10,FARIDABAD,370,Independent,1,S07,HARYANA,371,0.03
TIKARAM HOODA,10,FARIDABAD,249,Independent,0,S07,HARYANA,249,0.02
BOBBY KATARIA,10,FARIDABAD,392,Independent,1,S07,HARYANA,393,0.03
MANOJ CHOUDHARY,10,FARIDABAD,438,Independent,1,S07,HARYANA,439,0.03
C A SHUKLA,10,FARIDABAD,389,Independent,0,S07,HARYANA,389,0.03
SANJAY MAURYA,10,FARIDABAD,801,Independent,1,S07,HARYANA,802,0.06
DR K P SINGH,10,FARIDABAD,661,Independent,2,S07,HARYANA,663,0.05
CAPT. AJAY SINGH,9,GURGAON,494733,Indian National Congress,557,S07,HARYANA,495290,34.24
RAO INDERJIT SINGH,9,GURGAON,877241,Bharatiya Janata Party,4305,S07,HARYANA,881546,60.94
CHAUDHARY RAIS AHMAD,9,GURGAON,26706,Bahujan Samaj Party,50,S07,HARYANA,26756,1.85
VIRENDAR RANA,9,GURGAON,9894,Indian National Lok Dal,17,S07,HARYANA,9911,0.69
DR. ABDUL LATIF (MIYA JI),9,GURGAON,450,Voters Party,4,S07,HARYANA,454,0.03
FOJI JAI KAWAR TYAGI (DIKSHIT),9,GURGAON,337,Daksha Party,9,S07,HARYANA,346,0.02
JAWAHAR SINGH PAHAL,9,GURGAON,305,Bhartiya Shakti Chetna Party,4,S07,HARYANA,309,0.02
COLONEL DHARAM PAL SINGH RAGHAVA,9,GURGAON,650,Rashtra Nirman Party,8,S07,HARYANA,658,0.05
ADVOCATE PARVEEN YADAV WAZIRABAD,9,GURGAON,1023,Akhil Bharatiya Jan Sangh,4,S07,HARYANA,1027,0.07
PAWAN KUMAR,9,GURGAON,1277,Shivsena,4,S07,HARYANA,1281,0.09
DR. MEHMOOD KHAN,9,GURGAON,8963,Jannayak Janta Party,30,S07,HARYANA,8993,0.62
MAHABIR MEHRA CHHILARKI,9,GURGAON,1056,Peoples Party of India (Democratic),5,S07,HARYANA,1061,0.07
RAMESH KUMAR,9,GURGAON,527,Rashtriya Sahara Party,0,S07,HARYANA,527,0.04
RAMESH CHAND,9,GURGAON,937,Bahujan Mukti Party,3,S07,HARYANA,940,0.06
VINOD KUMAR,9,GURGAON,1201,Aapki Apni Party (Peoples),2,S07,HARYANA,1203,0.08
COMRADE SARWAN KUMAR,9,GURGAON,2764,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2,S07,HARYANA,2766,0.19
HANS KUMAR,9,GURGAON,1868,Rashtriya Rashtrawadi Party,0,S07,HARYANA,1868,0.13
CHOWKIDAR ANJAN DEVESHWAR,9,GURGAON,1780,Independent,3,S07,HARYANA,1783,0.12
AZAD SINGH NANGALIA,9,GURGAON,423,Independent,0,S07,HARYANA,423,0.03
RAO INDERJEET,9,GURGAON,1327,Independent,15,S07,HARYANA,1342,0.09
KUSHESHWAR BHAGAT,9,GURGAON,434,Independent,0,S07,HARYANA,434,0.03
PAWAN NEHRA,9,GURGAON,295,Independent,3,S07,HARYANA,298,0.02
VIRENDER,9,GURGAON,258,Independent,1,S07,HARYANA,259,0.02
SUDESH KUMAR,9,GURGAON,1639,Independent,6,S07,HARYANA,1645,0.11
BRIJENDRA SINGH,4,HISAR,599951,Bharatiya Janata Party,3338,S07,HARYANA,603289,51.13
BHAVYA BISHNOI,4,HISAR,183960,Indian National Congress,409,S07,HARYANA,184369,15.63
SUKHBIR SINGH,4,HISAR,9136,Communist Party of India  (Marxist),14,S07,HARYANA,9150,0.78
SURINDER SHARMA,4,HISAR,45090,Bahujan Samaj Party,100,S07,HARYANA,45190,3.83
SURESH KOTH,4,HISAR,9739,Indian National Lok Dal,22,S07,HARYANA,9761,0.83
JAI BHAGWAN,4,HISAR,2090,Bahujan Mukti Party,3,S07,HARYANA,2093,0.18
DARA SINGH,4,HISAR,1248,Bhartiya Janraj Party,21,S07,HARYANA,1269,0.11
DUSHYANT CHAUTALA,4,HISAR,288425,Jannayak Janta Party,796,S07,HARYANA,289221,24.51
PAWAN FOUJI,4,HISAR,1769,Rashtriya Bhagidari Samaj Party,8,S07,HARYANA,1777,0.15
VIKAS GODARA,4,HISAR,891,Rashtriya Lokswaraj Party,2,S07,HARYANA,893,0.08
SHASHI BHARAT BHUSHAN,4,HISAR,416,Pragatishil Samajwadi Party (Lohia),1,S07,HARYANA,417,0.04
SANDEEP,4,HISAR,516,Bharat Prabhat Party,5,S07,HARYANA,521,0.04
KAKA SAHIL THAKRAL,4,HISAR,770,Sapaks Party,0,S07,HARYANA,770,0.07
ANOOP MEHTA,4,HISAR,997,Independent,1,S07,HARYANA,998,0.08
ATAM PARKASH,4,HISAR,1207,Independent,0,S07,HARYANA,1207,0.1
KULDEEP BHUKKAL,4,HISAR,5330,Independent,4,S07,HARYANA,5334,0.45
DEEPAK,4,HISAR,5867,Independent,0,S07,HARYANA,5867,0.5
PYARELAL CHOHAN ADVOCATE,4,HISAR,930,Independent,0,S07,HARYANA,930,0.08
PARDEEP KUMAR,4,HISAR,521,Independent,1,S07,HARYANA,522,0.04
BAJRANG VATS,4,HISAR,803,Independent,5,S07,HARYANA,808,0.07
BIJENDER,4,HISAR,455,Independent,4,S07,HARYANA,459,0.04
MANGE RAM VERMA,4,HISAR,991,Independent,2,S07,HARYANA,993,0.08
SHAMSHER SINGH,4,HISAR,485,Independent,0,S07,HARYANA,485,0.04
SALEEM DIN,4,HISAR,6337,Independent,2,S07,HARYANA,6339,0.54
SUDHIR GODARA,4,HISAR,3757,Independent,0,S07,HARYANA,3757,0.32
SUMIT KUMAR,4,HISAR,492,Independent,1,S07,HARYANA,493,0.04
KULDIP SHARMA,5,KARNAL,255163,Indian National Congress,289,S07,HARYANA,255452,19.64
DHARMVIR PADHA,5,KARNAL,15748,Indian National Lok Dal,49,S07,HARYANA,15797,1.21
PANKAJ,5,KARNAL,67091,Bahujan Samaj Party,92,S07,HARYANA,67183,5.17
SANJAY BHATIA,5,KARNAL,909432,Bharatiya Janata Party,2162,S07,HARYANA,911594,70.08
ANKUR,5,KARNAL,2785,Aapki Apni Party (Peoples),4,S07,HARYANA,2789,0.21
ANIL KUMAR,5,KARNAL,1235,Jai Jawan Jai Kisan Party,8,S07,HARYANA,1243,0.1
ISHWAR CHAND SALWAN,5,KARNAL,545,Aadarsh Janata Sewa Party,6,S07,HARYANA,551,0.04
ISHWAR SHARMA,5,KARNAL,808,Rashtriya Lokswaraj Party,0,S07,HARYANA,808,0.06
KITAB SINGH,5,KARNAL,2117,Peoples Party of India (Democratic),1,S07,HARYANA,2118,0.16
KRISHAN KUMAR AGGARWAL,5,KARNAL,22042,Aam Aadmi Party,42,S07,HARYANA,22084,1.7
TILAK RAJ,5,KARNAL,774,Rashtriya Garib Dal,0,S07,HARYANA,774,0.06
DINESH SHARMA,5,KARNAL,1723,Shivsena,8,S07,HARYANA,1731,0.13
NARESH KUMAR,5,KARNAL,2337,Pragatishil Samajwadi Party (Lohia),3,S07,HARYANA,2340,0.18
VICKY CHINALYA,5,KARNAL,3316,Samajik Nyaya Party,2,S07,HARYANA,3318,0.26
JAGDISH,5,KARNAL,1184,Independent,2,S07,HARYANA,1186,0.09
PARMOD SHARMA,5,KARNAL,6287,Independent,4,S07,HARYANA,6291,0.48
ARJUN SINGH CHAUTALA,2,KURUKSETRA,60574,Indian National Lok Dal,105,S07,HARYANA,60679,4.93
NAYAB SINGH,2,KURUKSETRA,686588,Bharatiya Janata Party,2041,S07,HARYANA,688629,55.98
NIRMAL SINGH,2,KURUKSETRA,303722,Indian National Congress,316,S07,HARYANA,304038,24.71
SHASHI,2,KURUKSETRA,75533,Bahujan Samaj Party,92,S07,HARYANA,75625,6.15
JAI BHAGWAN SHARMA (DD),2,KURUKSETRA,68437,Jannayak Janta Party,76,S07,HARYANA,68513,5.57
JYOTI HIBANA,2,KURUKSETRA,974,Navnirman Party,11,S07,HARYANA,985,0.08
NITIN,2,KURUKSETRA,467,Aapki Apni Party (Peoples),0,S07,HARYANA,467,0.04
RAJ KUMARI,2,KURUKSETRA,506,Bharat Prabhat Party,1,S07,HARYANA,507,0.04
RAM NARAYAN,2,KURUKSETRA,765,Bhartiya Jan Samman Party,1,S07,HARYANA,766,0.06
VIKRAM SINGH,2,KURUKSETRA,1175,Bhartiya Shakti Chetna Party,11,S07,HARYANA,1186,0.1
SANDEEP KUMAR KAUSHIK,2,KURUKSETRA,682,Rashtriya Lokswaraj Party,4,S07,HARYANA,686,0.06
SUBHASH CHAND BEDI,2,KURUKSETRA,1087,Pragatishil Samajwadi Party (Lohia),4,S07,HARYANA,1091,0.09
SUMER CHAND,2,KURUKSETRA,2313,Peoples Party of India (Democratic),0,S07,HARYANA,2313,0.19
